Equipo,Puntos,Ganados,Empatados,Perdidos,Goles a favor,Goles en contra
Barcelona,87,27,6,5,105,35
R.Madrid,78,25,3,10,83,52
Sevilla,70,21,7,10,54,39
Atlético,67,20,7,11,80,57
Villarreal,65,18,11,9,61,54
Valencia,62,18,8,12,68,54
Deportivo,58,16,10,12,48,47
Málaga,55,15,10,13,55,59
Mallorca,51,14,9,15,53,60
Espanyol,47,12,11,15,46,49
Almería,46,13,7,18,45,61
Racing,46,12,10,16,49,48
Athletic,44,12,8,18,47,62
Sporting,43,14,1,23,47,79
Osasuna,43,10,13,15,41,47
Valladolid,43,12,7,19,46,58
Getafe,42,10,12,16,50,56
Betis,42,10,12,16,51,58
Numancia,35,10,5,23,38,69
Recre,33,8,9,21,34,57
